gen,id,probability_maraud,position,successful_mating
0,0,0.01,0,4
0,1,0.3,600,12
0,2,0.01,1200,3
0,3,0.3,1800,19
0,4,0.01,2400,8
0,5,0.3,3000,8
1,0,0.005429863570637133,0,3
1,1,0.3,600,11
1,2,0.01,1200,2
1,3,0.2740761853723111,1800,16
1,4,0.01,2400,10
1,5,0.3772913850568197,3000,12
2,0,0.005429863570637133,0,5
2,1,0.44784613385315886,600,9
2,2,0.005985116503002842,1200,6
2,3,0.16384960459592618,1800,16
2,4,0.01995602739833265,2400,0
2,5,0.3772913850568197,3000,18
3,0,0.003382593887950613,0,3
3,1,0.44784613385315886,600,11
3,2,0.005985116503002842,1200,3
3,3,0.28160146448965057,1800,21
3,4,0.01995602739833265,2400,5
3,5,0.3772913850568197,3000,11
4,0,0.00559889369529283,0,4
4,1,0.44784613385315886,600,13
4,2,0.0046830468903229705,1200,4
4,3,0.1933556401059582,1800,14
4,4,0.01995602739833265,2400,5
4,5,0.3772913850568197,3000,14
5,0,0.00559889369529283,0,5
5,1,0.44784613385315886,600,15
5,2,0.006855548677674501,1200,3
5,3,0.1933556401059582,1800,7
5,4,0.028194217955671598,2400,11
5,5,0.44233589133361106,3000,13
6,0,0.00559889369529283,0,2
6,1,0.44784613385315886,600,11
6,2,0.01299676445761243,1200,3
6,3,0.1933556401059582,1800,18
6,4,0.013671644591526588,2400,8
6,5,0.36107602137908235,3000,12
7,0,0.00559889369529283,0,5
7,1,0.40185604010814885,600,14
7,2,0.01299676445761243,1200,3
7,3,0.1933556401059582,1800,19
7,4,0.013671644591526588,2400,3
7,5,0.3812940835243312,3000,10
8,0,0.00559889369529283,0,0
8,1,0.4166243651778741,600,14
8,2,0.01299676445761243,1200,5
8,3,0.1599576946662618,1800,15
8,4,0.013671644591526588,2400,7
8,5,0.3812940835243312,3000,13
9,0,0.00559889369529283,0,5
9,1,0.4166243651778741,600,15
9,2,0.01299676445761243,1200,6
9,3,0.1266502661851231,1800,17
9,4,0.013671644591526588,2400,3
9,5,0.5292431702140955,3000,8
10,0,0.00559889369529283,0,1
10,1,0.4166243651778741,600,10
10,2,0.01299676445761243,1200,6
10,3,0.12533264681844963,1800,16
10,4,0.015207485767696156,2400,4
10,5,0.5292431702140955,3000,17
11,0,0.006546528498779393,0,0
11,1,0.37715746299888886,600,10
11,2,0.01299676445761243,1200,7
11,3,0.12533264681844963,1800,17
11,4,0.012714353114553626,2400,2
11,5,0.5292431702140955,3000,18
12,0,0.008003194703264384,0,1
12,1,0.239835646613635,600,19
12,2,0.01299676445761243,1200,6
12,3,0.12533264681844963,1800,16
12,4,0.014400746315288216,2400,3
12,5,0.5292431702140955,3000,9
13,0,0.00510121952461964,0,4
13,1,0.239835646613635,600,14
13,2,0.01299676445761243,1200,6
13,3,0.12533264681844963,1800,12
13,4,0.014400746315288216,2400,4
13,5,0.5664256637966697,3000,14
14,0,0.00510121952461964,0,7
14,1,0.239835646613635,600,13
14,2,0.013674988279837527,1200,8
14,3,0.14063207074977765,1800,11
14,4,0.014400746315288216,2400,0
14,5,0.5664256637966697,3000,15
15,0,0.0026638237294647578,0,2
15,1,0.239835646613635,600,13
15,2,0.013674988279837527,1200,6
15,3,0.14063207074977765,1800,16
15,4,0.014400746315288216,2400,4
15,5,0.6573413460585207,3000,13
16,0,0.0042365912099716,0,3
16,1,0.2873304857487392,600,11
16,2,0.013674988279837527,1200,8
16,3,0.14063207074977765,1800,13
16,4,0.014400746315288216,2400,4
16,5,0.5972085947095198,3000,15
17,0,0.004811967749477854,0,3
17,1,0.1889853105481845,600,15
17,2,0.013674988279837527,1200,5
17,3,0.19612428992182643,1800,14
17,4,0.02470053483956369,2400,0
17,5,0.6233558625758896,3000,17
18,0,0.004811967749477854,0,5
18,1,0.1889853105481845,600,10
18,2,0.013674988279837527,1200,9
18,3,0.20640113584235636,1800,13
18,4,0.024975737124255222,2400,4
18,5,0.6233558625758896,3000,13
19,0,0.004811967749477854,0,2
19,1,0.1889853105481845,600,21
19,2,0.007352695752664519,1200,8
19,3,0.1934742225861981,1800,10
19,4,0.024975737124255222,2400,3
19,5,0.6233558625758896,3000,10
20,0,0.004811967749477854,0,5
20,1,0.1889853105481845,600,12
20,2,0.005541432255208929,1200,7
20,3,0.1934742225861981,1800,9
20,4,0.016800473572975802,2400,4
20,5,0.6233558625758896,3000,17
21,0,0.002711302067640115,0,6
21,1,0.11426727044441035,600,19
21,2,0.005541432255208929,1200,8
21,3,0.1934742225861981,1800,13
21,4,0.016800473572975802,2400,1
21,5,0.6303385035855773,3000,7
22,0,0.002711302067640115,0,3
22,1,0.06664373798637614,600,10
22,2,0.007663435625693445,1200,7
22,3,0.25175629098584235,1800,16
22,4,0.016800473572975802,2400,4
22,5,0.6303385035855773,3000,14
23,0,0.0031988074000090932,0,7
23,1,0.10715549787507385,600,11
23,2,0.0062267968016521315,1200,3
23,3,0.25175629098584235,1800,18
23,4,0.016800473572975802,2400,3
23,5,0.6303385035855773,3000,12
24,0,0.0031988074000090932,0,8
24,1,0.16999042094320316,600,16
24,2,0.0062267968016521315,1200,5
24,3,0.25175629098584235,1800,10
24,4,0.016800473572975802,2400,2
24,5,0.5218303640825115,3000,13
25,0,0.0031988074000090932,0,4
25,1,0.16999042094320316,600,13
25,2,0.0062267968016521315,1200,10
25,3,0.2620681058767946,1800,11
25,4,0.014582771544286345,2400,1
25,5,0.5218303640825115,3000,15
26,0,0.0019148577203882474,0,6
26,1,0.13126896577166314,600,9
26,2,0.0062267968016521315,1200,3
26,3,0.2620681058767946,1800,17
26,4,0.014582771544286345,2400,4
26,5,0.43699838663166574,3000,15
27,0,0.0009569254595326175,0,6
27,1,0.13126896577166314,600,10
27,2,0.0062267968016521315,1200,7
27,3,0.15270290620945326,1800,8
27,4,0.014582771544286345,2400,3
27,5,0.49316071129802797,3000,20
28,0,0.0009569254595326175,0,3
28,1,0.16046644401964624,600,16
28,2,0.00525475471890219,1200,6
28,3,0.26883651685514826,1800,18
28,4,0.014582771544286345,2400,2
28,5,0.49316071129802797,3000,9
29,0,0.0009569254595326175,0,6
29,1,0.16046644401964624,600,16
29,2,0.00898909946657988,1200,6
29,3,0.26883651685514826,1800,11
29,4,0.014077549885519246,2400,3
29,5,0.3300138680505644,3000,12
30,0,0.0009569254595326175,0,6
30,1,0.16046644401964624,600,12
30,2,0.008815619339374588,1200,3
30,3,0.26883651685514826,1800,16
30,4,0.025475471270117032,2400,7
30,5,0.3300138680505644,3000,10
31,0,0.0009569254595326175,0,5
31,1,0.16046644401964624,600,15
31,2,0.008815619339374588,1200,6
