gen,id,probability_maraud,position,successful_mating
0,0,0.01,0,7
0,1,0.3,300,9
0,2,0.01,600,11
0,3,0.3,900,12
0,4,0.01,1200,5
0,5,0.3,1500,10
1,0,0.009513347182318192,0,7
1,1,0.3,300,17
1,2,0.01,600,5
1,3,0.3,900,6
1,4,0.007130401180209668,1200,9
1,5,0.3,1500,10
2,0,0.009452928718781388,0,6
2,1,0.3,300,4
2,2,0.006064002017335125,600,7
2,3,0.3227261625133715,900,18
2,4,0.007130401180209668,1200,5
2,5,0.3,1500,14
3,0,0.011870612267167352,0,10
3,1,0.3509356963212195,300,5
3,2,0.004944511038081579,600,5
3,3,0.3227261625133715,900,16
3,4,0.006138454842245312,1200,9
3,5,0.3,1500,9
4,0,0.011870612267167352,0,8
4,1,0.47434017888388097,300,6
4,2,0.0072610496493137715,600,10
4,3,0.3227261625133715,900,11
4,4,0.006138454842245312,1200,8
4,5,0.3,1500,11
5,0,0.014761199446946533,0,5
5,1,0.6046612835872991,300,9
5,2,0.0072610496493137715,600,4
5,3,0.3227261625133715,900,13
5,4,0.009149678559475434,1200,15
5,5,0.3,1500,8
6,0,0.030755218040853537,0,10
6,1,0.6046612835872991,300,9
6,2,0.011253628235095417,600,4
6,3,0.3227261625133715,900,12
6,4,0.009149678559475434,1200,11
6,5,0.2693191977140173,1500,8
7,0,0.030755218040853537,0,8
7,1,0.6046612835872991,300,15
7,2,0.010712009963542574,600,7
7,3,0.3227261625133715,900,8
7,4,0.009149678559475434,1200,11
7,5,0.23413232887443539,1500,5
8,0,0.02798854007932846,0,7
8,1,0.6046612835872991,300,17
8,2,0.0094265493663456,600,6
8,3,0.28180392599160464,900,3
8,4,0.009149678559475434,1200,12
8,5,0.36326781584345874,1500,9
9,0,0.027059788987720695,0,6
9,1,0.6046612835872991,300,15
9,2,0.010533849202760985,600,8
9,3,0.5149954768843646,900,11
9,4,0.009149678559475434,1200,6
9,5,0.36326781584345874,1500,8
10,0,0.024460574098348772,0,7
10,1,0.6046612835872991,300,11
10,2,0.01305571944396962,600,8
10,3,0.5149954768843646,900,7
10,4,0.008530346423938783,1200,7
10,5,0.3560708300522232,1500,14
11,0,0.021757407594096712,0,9
11,1,0.6046612835872991,300,18
11,2,0.011402098302963185,600,6
11,3,0.5535344218784314,900,13
11,4,0.010996963992190488,1200,1
11,5,0.3560708300522232,1500,7
12,0,0.021757407594096712,0,6
12,1,0.6046612835872991,300,9
12,2,0.012499424167617125,600,6
12,3,0.5535344218784314,900,15
12,4,0.010002637120411906,1200,5
12,5,0.3776987261328797,1500,13
13,0,0.018786993688869,0,12
13,1,0.6046612835872991,300,10
13,2,0.015811471661493305,600,6
13,3,0.5535344218784314,900,7
13,4,0.017154056154993547,1200,8
13,5,0.3776987261328797,1500,11
14,0,0.018786993688869,0,6
14,1,0.6046612835872991,300,14
14,2,0.029452283004845214,600,10
14,3,0.44302994944090524,900,8
14,4,0.013971881903464413,1200,7
14,5,0.3776987261328797,1500,9
15,0,0.016665882722231466,0,8
15,1,0.6046612835872991,300,14
15,2,0.029452283004845214,600,6
15,3,0.3780383710253206,900,7
15,4,0.010768894374413376,1200,9
15,5,0.3776987261328797,1500,10
16,0,0.019302642297883487,0,7
16,1,0.6046612835872991,300,5
16,2,0.02489650386468875,600,9
16,3,0.4291685540216154,900,12
16,4,0.010768894374413376,1200,10
16,5,0.3776987261328797,1500,11
17,0,0.028092580807610505,0,9
17,1,0.33785323362059266,300,7
17,2,0.02489650386468875,600,12
17,3,0.4291685540216154,900,9
17,4,0.010768894374413376,1200,4
17,5,0.3776987261328797,1500,13
18,0,0.028092580807610505,0,5
18,1,0.4563045270345623,300,12
18,2,0.02489650386468875,600,6
18,3,0.4291685540216154,900,17
18,4,0.008865866721355685,1200,4
18,5,0.3776987261328797,1500,10
19,0,0.03813377166346224,0,11
19,1,0.4563045270345623,300,8
