gen,id,probability_maraud,position,successful_mating
0,0,0.01,0,6
0,1,0.01,600,11
0,2,0.01,1200,7
0,3,0.01,1800,12
0,4,0.01,2400,9
0,5,0.01,3000,9
1,0,0.011216538800770622,0,9
1,1,0.01,600,4
1,2,0.01,1200,9
1,3,0.006115478972441643,1800,8
1,4,0.016411965628013805,2400,12
1,5,0.01,3000,12
2,0,0.017123016505213744,0,6
2,1,0.01192049071462924,600,4
2,2,0.0065788960718990985,1200,12
2,3,0.006115478972441643,1800,9
2,4,0.013930028247300615,2400,11
2,5,0.01,3000,12
3,0,0.0167697038536316,0,5
3,1,0.01470037107166816,600,7
3,2,0.0065788960718990985,1200,12
3,3,0.006115478972441643,1800,10
3,4,0.01039471680324045,2400,11
3,5,0.007618819934468635,3000,9
4,0,0.01610325563348565,0,17
4,1,0.0117284146611913,600,10
4,2,0.009725998211087498,1200,11
4,3,0.002956774931731507,1800,4
4,4,0.01039471680324045,2400,7
4,5,0.007618819934468635,3000,5
5,0,0.01610325563348565,0,12
5,1,0.0117284146611913,600,10
5,2,0.0072979562365109146,1200,9
5,3,0.002956774931731507,1800,8
5,4,0.01039471680324045,2400,4
5,5,0.005761685273041581,3000,11
6,0,0.012118172241600795,0,7
6,1,0.0117284146611913,600,8
6,2,0.006472221266067814,1200,6
6,3,0.002956774931731507,1800,6
6,4,0.012294489404880803,2400,13
6,5,0.009768182895037758,3000,14
7,0,0.0053564502913054516,0,2
7,1,0.0117284146611913,600,7
7,2,0.006472221266067814,1200,11
7,3,0.002956774931731507,1800,11
7,4,0.007689564838362639,2400,13
7,5,0.009768182895037758,3000,10
8,0,0.005097615105460391,0,8
8,1,0.006732140381972169,600,8
8,2,0.006472221266067814,1200,9
8,3,0.0036304804541632905,1800,10
8,4,0.007689564838362639,2400,10
8,5,0.00782639182905441,3000,9
9,0,0.005415100709120767,0,9
9,1,0.005539200772138083,600,7
9,2,0.010162371074526602,1200,8
9,3,0.005033486876169062,1800,13
9,4,0.007689564838362639,2400,7
9,5,0.00782639182905441,3000,10
10,0,0.009000866571071117,0,10
10,1,0.005539200772138083,600,7
10,2,0.010162371074526602,1200,11
10,3,0.005829132219163569,1800,13
10,4,0.007689564838362639,2400,10
10,5,0.00782639182905441,3000,3
11,0,0.009000866571071117,0,11
11,1,0.005539200772138083,600,8
11,2,0.003292461945971827,1200,8
11,3,0.004634245893660698,1800,9
11,4,0.007689564838362639,2400,10
11,5,0.00782639182905441,3000,8
12,0,0.00434975107870452,0,8
12,1,0.005539200772138083,600,7
12,2,0.003292461945971827,1200,12
12,3,0.004634245893660698,1800,11
12,4,0.008465062041458811,2400,8
12,5,0.008085326337898513,3000,8
13,0,0.00434975107870452,0,10
13,1,0.005539200772138083,600,6
13,2,0.0024645660810879697,1200,10
13,3,0.006713098816483244,1800,10
13,4,0.008465062041458811,2400,7
13,5,0.009079844900685459,3000,11
14,0,0.00434975107870452,0,8
14,1,0.005539200772138083,600,7
14,2,0.0024645660810879697,1200,7
14,3,0.006713098816483244,1800,5
14,4,0.0037104696988940907,2400,11
14,5,0.009079844900685459,3000,16
15,0,0.00434975107870452,0,10
15,1,0.004124755952291032,600,15
15,2,0.0024645660810879697,1200,9
15,3,0.006713098816483244,1800,8
15,4,0.004003434776070486,2400,6
15,5,0.003917648278344941,3000,6
16,0,0.004972199312406776,0,9
16,1,0.0024501754687163376,600,10
16,2,0.00125302274997886,1200,5
16,3,0.006713098816483244,1800,15
16,4,0.004003434776070486,2400,7
16,5,0.003917648278344941,3000,8
17,0,0.004972199312406776,0,9
17,1,0.0018172927318515814,600,7
17,2,0.00125302274997886,1200,8
17,3,0.01210583568291147,1800,12
17,4,0.004991463778819129,2400,8
17,5,0.003917648278344941,3000,10
18,0,0.004972199312406776,0,7
18,1,0.0019651477424893825,600,15
18,2,0.0009826879553776738,1200,5
18,3,0.010577687410821622,1800,11
18,4,0.004991463778819129,2400,7
18,5,0.003917648278344941,3000,9
19,0,0.004972199312406776,0,12
19,1,0.0011324636170603852,600,8
19,2,0.0009315193709232224,1200,10
19,3,0.010577687410821622,1800,9
19,4,0.004991463778819129,2400,9
19,5,0.003077272167194414,3000,6
20,0,0.004972199312406776,0,5
20,1,0.001320484828077211,600,6
20,2,0.0009315193709232224,1200,10
20,3,0.010577687410821622,1800,11
20,4,0.005690324779699434,2400,15
20,5,0.003077272167194414,3000,7
21,0,0.0061282051784188885,0,9
21,1,0.001320484828077211,600,4
21,2,0.0012886244192938155,1200,15
21,3,0.010577687410821622,1800,9
21,4,0.00432185000351412,2400,4
21,5,0.003077272167194414,3000,13
22,0,0.003997552068150695,0,14
22,1,0.001320484828077211,600,8
22,2,0.0005350874401510357,1200,7
22,3,0.010577687410821622,1800,5
22,4,0.003936946422014045,2400,9
22,5,0.0033923043844503406,3000,11
23,0,0.00498143088427989,0,10
23,1,0.001320484828077211,600,9
23,2,0.0005854248227596984,1200,11
23,3,0.010577687410821622,1800,9
23,4,0.003524332743861365,2400,6
23,5,0.0033923043844503406,3000,9
24,0,0.008358326209974112,0,6
24,1,0.0026160064089691716,600,8
24,2,0.0005854248227596984,1200,15
24,3,0.010577687410821622,1800,9
24,4,0.003524332743861365,2400,10
24,5,0.0033923043844503406,3000,6
25,0,0.008358326209974112,0,9
25,1,0.0026160064089691716,600,7
25,2,0.0005854248227596984,1200,13
25,3,0.010577687410821622,1800,9
25,4,0.005235159663320981,2400,11
25,5,0.005396034030485874,3000,5
26,0,0.024289026812773673,0,8
26,1,0.0026160064089691716,600,6
26,2,0.0005854248227596984,1200,9
26,3,0.010577687410821622,1800,8
26,4,0.005235159663320981,2400,10
26,5,0.00800499035054825,3000,13
27,0,0.019314923147275963,0,10
27,1,0.0026160064089691716,600,8
27,2,0.0005363606635667496,1200,8
27,3,0.010577687410821622,1800,8
27,4,0.004247844137413833,2400,7
27,5,0.00800499035054825,3000,13
28,0,0.019314923147275963,0,7
28,1,0.0020784778110413534,600,8
28,2,0.00022196479353899873,1200,11
28,3,0.010577687410821622,1800,8
28,4,0.004247844137413833,2400,12
28,5,0.008551412158147384,3000,8
29,0,0.019314923147275963,0,10
29,1,0.003033284430692234,600,5
29,2,0.00015889918792784985,1200,8
29,3,0.010523221406084098,1800,9
29,4,0.004247844137413833,2400,14
29,5,0.010524370197959989,3000,8
30,0,0.02945818611827183,0,9
30,1,0.004218502765035866,600,9
30,2,0.00015889918792784985,1200,9
30,3,0.010523221406084098,1800,10
30,4,0.004247844137413833,2400,10
30,5,0.021961690815668445,3000,7
31,0,0.02945818611827183,0,9
31,1,0.004218502765035866,600,11
31,2,0.0001701503237499233,1200,9
31,3,0.010523221406084098,1800,10
31,4,0.003932843543199607,2400,10
31,5,0.026094695349608774,3000,5
32,0,0.02945818611827183,0,7
32,1,0.00395895426198686,600,7
32,2,0.0001701503237499233,1200,10
32,3,0.010523221406084098,1800,7
32,4,0.001753107726175525,2400,13
32,5,0.025332663922988066,3000,10
33,0,0.02945818611827183,0,14
33,1,0.0045034023561412555,600,8
33,2,0.00025999916068707813,1200,10
33,3,0.010523221406084098,1800,10
33,4,0.002302402655257348,2400,6
33,5,0.03890788669599255,3000,6
34,0,0.05473729044219415,0,11
34,1,0.0045034023561412555,600,9
34,2,0.00025999916068707813,1200,4
34,3,0.010523221406084098,1800,13
34,4,0.004009540854874608,2400,10
34,5,0.0488380612931875,3000,7
35,0,0.05473729044219415,0,14
35,1,0.0045034023561412555,600,10
35,2,0.00025999916068707813,1200,2
35,3,0.00653189224153157,1800,9
35,4,0.004009540854874608,2400,7
35,5,0.020373146700720376,3000,12
36,0,0.05027338932341329,0,8
36,1,0.004554246136748333,600,5
36,2,0.0003276091544351022,1200,12
36,3,0.008294521057898312,1800,13
36,4,0.004009540854874608,2400,11
36,5,0.020373146700720376,3000,5
37,0,0.04005729937335634,0,5
37,1,0.004554246136748333,600,9
37,2,0.00038220873585850313,1200,12
37,3,0.0034199367221378445,1800,6
37,4,0.004009540854874608,2400,8
37,5,0.020373146700720376,3000,14
38,0,0.01548414822571824,0,17
38,1,0.004590470359591581,600,11
38,2,0.00038220873585850313,1200,9
38,3,0.0034199367221378445,1800,5
38,4,0.004009540854874608,2400,8
38,5,0.025611131898693237,3000,4
39,0,0.017372520333122223,0,9
39,1,0.006266748333256916,600,11
39,2,0.00038220873585850313,1200,9
39,3,0.0019553741872642013,1800,11
39,4,0.0037069554535766177,2400,5
39,5,0.025611131898693237,3000,9
40,0,0.027891680079996897,0,7
40,1,0.007871680167983787,600,8
40,2,0.00038220873585850313,1200,8
40,3,0.0019553741872642013,1800,7
40,4,0.0033978649278876482,2400,15
40,5,0.025611131898693237,3000,9
41,0,0.04202369746220305,0,11
41,1,0.007871680167983787,600,9
41,2,0.00038220873585850313,1200,10
41,3,0.0019553741872642013,1800,13
41,4,0.0033978649278876482,2400,5
41,5,0.050062710816718724,3000,6
42,0,0.04202369746220305,0,12
42,1,0.009273989372888038,600,8
42,2,0.0005544390814847698,1200,9
42,3,0.0019553741872642013,1800,10
42,4,0.004923653676709752,2400,10
42,5,0.050062710816718724,3000,5
43,0,0.04202369746220305,0,6
43,1,0.009273989372888038,600,7
43,2,0.0005544390814847698,1200,11
43,3,0.002807225935189759,1800,12
43,4,0.004923653676709752,2400,12
43,5,0.038597553306329684,3000,6
44,0,0.04202369746220305,0,10
44,1,0.009273989372888038,600,7
44,2,0.0006397836374773303,1200,9
44,3,0.002807225935189759,1800,11
44,4,0.0034845445478355747,2400,7
44,5,0.038597553306329684,3000,10
45,0,0.04571734738396075,0,8
45,1,0.009273989372888038,600,7
45,2,0.0006849532998317529,1200,11
45,3,0.001769750455898339,1800,8
45,4,0.003954625825791904,2400,10
45,5,0.038597553306329684,3000,10
46,0,0.04571734738396075,0,5
46,1,0.009273989372888038,600,5
46,2,0.0005799915883555769,1200,12
46,3,0.0016754445428474067,1800,4
46,4,0.004281260002942104,2400,18
46,5,0.023530537468324987,3000,10
47,0,0.046081972314986105,0,5
47,1,0.012636133297343189,600,9
47,2,0.0005799915883555769,1200,9
47,3,0.0012148033259590922,1800,9
47,4,0.004281260002942104,2400,16
47,5,0.023530537468324987,3000,6
48,0,0.04420418713307851,0,9
48,1,0.01987131121742304,600,7
48,2,0.0005799915883555769,1200,8
48,3,0.0012148033259590922,1800,9
48,4,0.004281260002942104,2400,14
48,5,0.013378583713811785,3000,7
49,0,0.04420418713307851,0,12
49,1,0.01987131121742304,600,2
49,2,0.00031827842793975423,1200,7
49,3,0.0012148033259590922,1800,8
49,4,0.003919118703467451,2400,9
49,5,0.013378583713811785,3000,16
50,0,0.04420418713307851,0,10
50,1,0.01987131121742304,600,3
50,2,0.00031827842793975423,1200,7
50,3,0.0014809937780854703,1800,9
50,4,0.002465739360898455,2400,13
50,5,0.013378583713811785,3000,12
51,0,0.04951967747474438,0,7
51,1,0.01987131121742304,600,9
51,2,0.00033447241534235853,1200,11
51,3,0.0014809937780854703,1800,10
51,4,0.002465739360898455,2400,8
51,5,0.023072620091168224,3000,9
52,0,0.04018193523381541,0,9
52,1,0.04553193957606476,600,14
52,2,0.00042869782900380074,1200,6
52,3,0.0014809937780854703,1800,12
52,4,0.002465739360898455,2400,8
52,5,0.023072620091168224,3000,5
53,0,0.04018193523381541,0,6
53,1,0.04553193957606476,600,8
53,2,0.00013611595523789152,1200,12
53,3,0.0014809937780854703,1800,10
53,4,0.002465739360898455,2400,8
53,5,0.015339799840583038,3000,10
54,0,0.04018193523381541,0,7
54,1,0.04553193957606476,600,6
54,2,0.00013611595523789152,1200,7
54,3,0.0011197331746626358,1800,15
54,4,0.0013321766046807922,2400,6
54,5,0.018174542193703663,3000,13
55,0,0.04018193523381541,0,6
55,1,0.04553193957606476,600,13
55,2,7.573706639247616e-05,1200,7
55,3,0.0011197331746626358,1800,15
55,4,0.001211692456217186,2400,5
55,5,0.021465072252611843,3000,7
56,0,0.04018193523381541,0,5
56,1,0.04553193957606476,600,10
56,2,7.573706639247616e-05,1200,10
56,3,0.0011197331746626358,1800,8
56,4,0.0016846508922028181,2400,14
56,5,0.02248833304179119,3000,7
57,0,0.04018193523381541,0,7
57,1,0.04553193957606476,600,13
57,2,7.573706639247616e-05,1200,6
57,3,0.0011197331746626358,1800,11
57,4,0.004279312176423903,2400,9
57,5,0.016335267743479407,3000,8
58,0,0.033982456064165806,0,5
58,1,0.04553193957606476,600,5
58,2,6.37011699345054e-05,1200,10
58,3,0.0010572703691478656,1800,9
58,4,0.004279312176423903,2400,10
58,5,0.016335267743479407,3000,15
59,0,0.033982456064165806,0,7
59,1,0.04553193957606476,600,9
59,2,0.00010998260865773656,1200,12
59,3,0.0010572703691478656,1800,10
59,4,0.003210509549802639,2400,10
59,5,0.016335267743479407,3000,6
60,0,0.025964563961071604,0,9
60,1,0.04553193957606476,600,9
60,2,0.000165013836114487,1200,11
60,3,0.0010572703691478656,1800,9
60,4,0.003210509549802639,2400,8
60,5,0.016335267743479407,3000,8
61,0,0.030897281199479567,0,10
61,1,0.04553193957606476,600,8
61,2,0.00013238796288454424,1200,9
61,3,0.0010572703691478656,1800,10
61,4,0.0055482715477907065,2400,4
61,5,0.016335267743479407,3000,13
62,0,0.030897281199479567,0,9
62,1,0.04553193957606476,600,16
62,2,0.00013238796288454424,1200,5
62,3,0.0010572703691478656,1800,7
62,4,0.005987644140442818,2400,6
62,5,0.04051819102468497,3000,11
63,0,0.03371423104400334,0,10
63,1,0.04553193957606476,600,15
63,2,0.00013238796288454424,1200,8
63,3,0.0005271759494691616,1800,6
63,4,0.005987644140442818,2400,6
63,5,0.04051819102468497,3000,9
64,0,0.03371423104400334,0,6
64,1,0.04553193957606476,600,6
64,2,0.00013238796288454424,1200,11
64,3,0.000610108556471313,1800,16
64,4,0.005987644140442818,2400,5
64,5,0.021962145862319697,3000,10
65,0,0.03371423104400334,0,11
65,1,0.04553193957606476,600,8
65,2,0.00013238796288454424,1200,8
65,3,0.000610108556471313,1800,12
65,4,0.004478494618980708,2400,7
65,5,0.006258945812223702,3000,8
66,0,0.0752030199787066,0,12
66,1,0.027802232426668107,600,14
66,2,0.00013238796288454424,1200,4
66,3,0.000610108556471313,1800,11
66,4,0.004478494618980708,2400,8
66,5,0.007456501383354038,3000,5
67,0,0.0752030199787066,0,6
67,1,0.030181091625535793,600,9
67,2,9.735491060181353e-05,1200,19
67,3,0.0003618178947269232,1800,2
67,4,0.004478494618980708,2400,12
67,5,0.007456501383354038,3000,6
68,0,0.0369490865915324,0,13
68,1,0.030181091625535793,600,5
68,2,9.735491060181353e-05,1200,6
68,3,0.000552516037601168,1800,11
68,4,0.004478494618980708,2400,9
68,5,0.007456501383354038,3000,10
69,0,0.0369490865915324,0,13
69,1,0.030181091625535793,600,11
69,2,0.0001373577390347675,1200,6
69,3,0.000552516037601168,1800,10
69,4,0.006623678572284971,2400,6
69,5,0.01211688742522622,3000,8
70,0,0.0369490865915324,0,7
70,1,0.030181091625535793,600,8
70,2,0.0001373577390347675,1200,8
70,3,0.000552516037601168,1800,9
70,4,0.007279406170387763,2400,11
70,5,0.010942087913686059,3000,11
71,0,0.03699275366461052,0,9
71,1,0.06404761726914535,600,8
71,2,9.351051118280299e-05,1200,6
71,3,0.000552516037601168,1800,15
71,4,0.005101852462717935,2400,7
