gen,id,probability_maraud,position,successful_mating
0,0,0.01,0,8
0,1,0.3,300,8
0,2,0.01,600,8
0,3,0.3,900,9
0,4,0.01,1200,9
0,5,0.3,1500,18
0,6,0.01,1800,6
0,7,0.3,2100,3
0,8,0.01,2400,11
0,9,0.3,2700,10
0,10,0.01,3000,7
0,11,0.3,3300,11
1,0,0.01,0,15
1,1,0.4382140009667481,300,3
1,2,0.01,600,8
1,3,0.19193031752290485,900,9
1,4,0.01,1200,9
1,5,0.3,1500,19
1,6,0.0064978299056037405,1800,5
1,7,0.20577955935454623,2100,7
1,8,0.00919545733369738,2400,5
1,9,0.2705907643528593,2700,16
1,10,0.01,3000,3
1,11,0.3,3300,9
2,0,0.01,0,6
2,1,0.4382140009667481,300,14
2,2,0.00524750788146119,600,9
2,3,0.3184666428178248,900,7
2,4,0.01,1200,7
2,5,0.19763503776456412,1500,6
2,6,0.0064978299056037405,1800,14
2,7,0.1631489589878158,2100,4
2,8,0.007079006285891182,2400,8
2,9,0.3842715971279441,2700,14
2,10,0.01,3000,3
2,11,0.3,3300,16
3,0,0.01,0,9
3,1,0.4382140009667481,300,15
3,2,0.003949521430566718,600,3
3,3,0.3184666428178248,900,6
3,4,0.01455453847704317,1200,9
3,5,0.19763503776456412,1500,11
3,6,0.008425147060078866,1800,8
3,7,0.2515990451195853,2100,13
3,8,0.003766333271247535,2400,9
3,9,0.30923464625945224,2700,7
3,10,0.01,3000,5
3,11,0.3,3300,12
4,0,0.01784140541482028,0,8
4,1,0.4716229742661862,300,8
4,2,0.003949521430566718,600,8
4,3,0.3184666428178248,900,10
4,4,0.020901368095049996,1200,4
4,5,0.19763503776456412,1500,15
4,6,0.008425147060078866,1800,11
4,7,0.3284716198911098,2100,12
4,8,0.003766333271247535,2400,8
4,9,0.30923464625945224,2700,4
4,10,0.007217720474850347,3000,8
4,11,0.3,3300,11
5,0,0.01784140541482028,0,4
5,1,0.4490411474727785,300,12
5,2,0.0031735098305789014,600,7
5,3,0.27882225355752605,900,12
5,4,0.04206510393067036,1200,7
5,5,0.19763503776456412,1500,10
5,6,0.008425147060078866,1800,8
5,7,0.3284716198911098,2100,11
5,8,0.0068833461736611925,2400,12
5,9,0.30923464625945224,2700,5
5,10,0.006370020070265576,3000,8
5,11,0.3,3300,11
6,0,0.00957356572876346,0,12
6,1,0.4490411474727785,300,10
