gen,id,probability_maraud,position,successful_mating
0,0,0.01,0,8
0,1,0.3,300,5
0,2,0.01,600,18
0,3,0.3,900,6
0,4,0.01,1200,11
0,5,0.3,1500,6
0,6,0.01,1800,8
0,7,0.3,2100,13
0,8,0.01,2400,8
0,9,0.3,2700,10
0,10,0.01,3000,8
0,11,0.3,3300,7
1,0,0.010133886560918251,0,9
1,1,0.298155145323969,300,10
1,2,0.01,600,9
1,3,0.2250786385983424,900,7
1,4,0.01,1200,8
1,5,0.28080805264893904,1500,10
1,6,0.008492089378622109,1800,5
1,7,0.3,2100,18
1,8,0.00843936927241298,2400,4
1,9,0.3,2700,11
1,10,0.009277540137183545,3000,8
1,11,0.30744882081377023,3300,7
2,0,0.010133886560918251,0,7
2,1,0.298155145323969,300,8
2,2,0.01,600,10
2,3,0.30565093244322117,900,12
2,4,0.009979971788116044,1200,7
2,5,0.28080805264893904,1500,11
2,6,0.011695422459669636,1800,8
2,7,0.3,2100,12
2,8,0.0071621199908018535,2400,8
2,9,0.3,2700,14
2,10,0.010639533428916806,3000,3
2,11,0.3370200662878704,3300,8
3,0,0.011024131051931127,0,6
3,1,0.2556136360426511,300,13
3,2,0.01,600,6
3,3,0.30565093244322117,900,14
3,4,0.013788453773430409,1200,8
3,5,0.28080805264893904,1500,4
3,6,0.011855005405788448,1800,8
3,7,0.3,2100,11
3,8,0.005534860028479569,2400,6
3,9,0.3,2700,14
3,10,0.004413269772615008,3000,9
3,11,0.2841567153697665,3300,9
4,0,0.009140102324225146,0,9
4,1,0.2556136360426511,300,8
4,2,0.005399065970720477,600,11
4,3,0.30565093244322117,900,9
4,4,0.012552476264367934,1200,7
4,5,0.39098504108196447,1500,13
4,6,0.012271528053127808,1800,10
4,7,0.3,2100,10
4,8,0.008366082817035905,2400,8
4,9,0.3,2700,4
4,10,0.004413269772615008,3000,8
4,11,0.2841567153697665,3300,11
5,0,0.009140102324225146,0,11
5,1,0.2516438690445017,300,14
5,2,0.005399065970720477,600,10
5,3,0.30565093244322117,900,7
5,4,0.007713968695181173,1200,8
5,5,0.39098504108196447,1500,13
5,6,0.012271528053127808,1800,6
5,7,0.3,2100,4
5,8,0.006340458294650529,2400,5
5,9,0.5802982370882994,2700,11
5,10,0.004828200912494182,3000,9
5,11,0.2841567153697665,3300,10
6,0,0.009140102324225146,0,7
6,1,0.2516438690445017,300,9
6,2,0.005399065970720477,600,9
6,3,0.3148829462342559,900,12
6,4,0.008426203274260021,1200,5
6,5,0.39098504108196447,1500,19
6,6,0.025680088143751213,1800,8
6,7,0.11641322024994903,2100,6
6,8,0.0027362337588734526,2400,8
6,9,0.5802982370882994,2700,10
6,10,0.004828200912494182,3000,7
6,11,0.2841567153697665,3300,8
7,0,0.011923140639934052,0,6
7,1,0.2516438690445017,300,13
7,2,0.005399065970720477,600,8
7,3,0.3148829462342559,900,8
7,4,0.011541820278811283,1200,13
7,5,0.39098504108196447,1500,11
7,6,0.03153134862487957,1800,10
7,7,0.16915059635626253,2100,3
7,8,0.0022524604778864765,2400,7
7,9,0.5802982370882994,2700,9
7,10,0.003895356410412975,3000,9
7,11,0.29796358849243193,3300,11
8,0,0.009119635702045324,0,6
8,1,0.2516438690445017,300,10
8,2,0.006145229644724552,600,11
8,3,0.30487613924658097,900,8
8,4,0.011541820278811283,1200,8
8,5,0.39098504108196447,1500,13
8,6,0.03153134862487957,1800,8
8,7,0.20053703362610228,2100,6
8,8,0.0033719666653876166,2400,7
8,9,0.5802982370882994,2700,11
8,10,0.003895356410412975,3000,9
8,11,0.29796358849243193,3300,11
9,0,0.004463380793094308,0,16
9,1,0.2516438690445017,300,10
9,2,0.006145229644724552,600,4
9,3,0.37528278325873365,900,9
9,4,0.015178287786617825,1200,8
9,5,0.39098504108196447,1500,15
9,6,0.023957563387006,1800,8
9,7,0.09629850180621999,2100,4
9,8,0.005245043790308016,2400,6
9,9,0.5802982370882994,2700,18
9,10,0.003895356410412975,3000,5
9,11,0.29796358849243193,3300,5
10,0,0.004463380793094308,0,12
10,1,0.2516438690445017,300,11
10,2,0.0068302578508975505,600,9
10,3,0.37528278325873365,900,10
10,4,0.014868276901799041,1200,6
10,5,0.39098504108196447,1500,6
10,6,0.026759786979144804,1800,14
10,7,0.12976376006418078,2100,7
10,8,0.008394246056279692,2400,6
10,9,0.5802982370882994,2700,11
10,10,0.004939939685333238,3000,5
10,11,0.3993265387297128,3300,11
11,0,0.004463380793094308,0,10
11,1,0.2516438690445017,300,8
11,2,0.0068302578508975505,600,5
11,3,0.37528278325873365,900,16
11,4,0.013402848229321635,1200,7
11,5,0.34470916011728,1500,8
11,6,0.026759786979144804,1800,6
11,7,0.1771369376543166,2100,17
11,8,0.012039127343741355,2400,5
11,9,0.5802982370882994,2700,14
11,10,0.0031291478033943455,3000,6
