gen,id,probability_maraud,position,successful_mating
0,0,0.3,0.0,13
0,1,0.3,90.0,10
0,2,0.3,180.0,7
0,3,0.3,270.0,5
0,4,0.3,360.0,11
0,5,0.3,450.0,8
1,0,0.3,0.0,16
1,1,0.3,90.0,10
1,2,0.3,5154.694841287851,9
1,3,0.3,5339.812515526601,9
1,4,0.3,360.0,7
1,5,0.3,300.5444022380851,3
2,0,0.3,0.0,4
2,1,0.3,90.0,7
2,2,0.3,5154.694841287851,21
2,3,0.3,5339.812515526601,15
2,4,0.3,804.338722621029,2
2,5,0.3,5302.95581093241,5
3,0,0.3,358.9889268886934,11
3,1,0.3,202.05219522755453,5
3,2,0.3,5154.694841287851,14
3,3,0.3,5339.812515526601,8
3,4,0.3,503.12862437872167,4
3,5,0.3,184.44511934232378,12
4,0,0.3,358.9889268886934,10
4,1,0.3,5313.510961876121,13
4,2,0.3,5154.694841287851,6
4,3,0.3,5061.946589206071,16
4,4,0.3,817.2009034100431,6
4,5,0.3,184.44511934232378,3
5,0,0.3,358.9889268886934,15
5,1,0.3,5313.510961876121,7
5,2,0.3,3.768863831861381,12
5,3,0.3,5061.946589206071,6
5,4,0.3,640.4444158033284,6
5,5,0.3,281.4281757222752,8
6,0,0.3,358.9889268886934,5
6,1,0.3,5066.603483823331,6
6,2,0.3,3.768863831861381,5
6,3,0.3,4921.3326941617715,15
6,4,0.3,559.3167566832657,11
6,5,0.3,412.60600361131833,11
7,0,0.3,695.6442714117973,10
7,1,0.3,4876.73874891919,7
7,2,0.3,41.33621875382812,8
7,3,0.3,4921.3326941617715,8
7,4,0.3,559.3167566832657,7
7,5,0.3,412.60600361131833,14
8,0,0.3,695.6442714117973,13
8,1,0.3,4613.032386953489,8
8,2,0.3,4941.315352939379,10
8,3,0.3,4398.859632606198,9
8,4,0.3,160.60675091961662,6
8,5,0.3,412.60600361131833,8
9,0,0.3,695.6442714117973,8
9,1,0.3,4331.534031489029,9
9,2,0.3,4941.315352939379,9
9,3,0.3,4398.859632606198,9
9,4,0.3,64.95743499383184,9
9,5,0.3,614.8184634212336,10
