gen,id,probability_maraud,position,successful_mating
0,0,0.3,0.0,9
0,1,0.3,90.0,14
0,2,0.3,180.0,5
0,3,0.3,270.0,7
0,4,0.3,360.0,10
0,5,0.3,450.0,9
1,0,0.3,0.0,9
1,1,0.3,90.0,9
1,2,0.3,470.978869711843,7
1,3,0.3,531.0415964029503,10
1,4,0.3,360.0,9
1,5,0.3,450.0,10
2,0,0.3,0.0,10
2,1,0.3,90.0,13
2,2,0.3,142.15312676213716,12
2,3,0.3,531.0415964029503,2
2,4,0.3,360.0,9
2,5,0.3,450.0,8
3,0,0.3,0.0,12
3,1,0.3,90.0,5
3,2,0.3,142.15312676213716,7
3,3,0.3,949.1181335625139,8
3,4,0.3,360.0,7
3,5,0.3,318.3011019317952,15
4,0,0.3,0.0,10
4,1,0.3,285.183535744126,8
4,2,0.3,5308.025629809307,9
4,3,0.3,884.0963221187783,14
4,4,0.3,271.9815824325275,9
4,5,0.3,318.3011019317952,4
5,0,0.3,0.0,8
5,1,0.3,293.52464474118574,6
5,2,0.3,5308.025629809307,9
5,3,0.3,884.0963221187783,9
5,4,0.3,271.9815824325275,12
5,5,0.3,752.6817203024759,10
6,0,0.3,5309.073452868282,8
6,1,0.3,430.29048713252314,12
6,2,0.3,5308.025629809307,9
6,3,0.3,884.0963221187783,6
6,4,0.3,271.9815824325275,10
6,5,0.3,752.6817203024759,9
7,0,0.3,5169.590192039029,12
7,1,0.3,430.29048713252314,5
7,2,0.3,5308.025629809307,13
7,3,0.3,826.2033924734758,9
7,4,0.3,271.9815824325275,8
7,5,0.3,752.6817203024759,7
8,0,0.3,5169.590192039029,10
8,1,0.3,378.6166769214079,6
8,2,0.3,5308.025629809307,9
8,3,0.3,826.2033924734758,8
8,4,0.3,211.59091559416183,12
8,5,0.3,538.1853012075086,9
9,0,0.3,5169.590192039029,7
9,1,0.3,1029.2074506754898,6
9,2,0.3,5308.025629809307,11
9,3,0.3,1092.2817914760592,11
9,4,0.3,211.59091559416183,7
9,5,0.3,538.1853012075086,12
10,0,0.3,5116.875211483377,8
