gen,id,probability_maraud,position,successful_mating
0,0,0.05,0,4
0,1,0.05,300,5
0,2,0.05,600,15
0,3,0.05,900,7
0,4,0.05,1200,10
0,5,0.05,1500,13
1,0,0.05,0,10
1,1,0.01575187793524943,300,7
1,2,0.05,600,8
1,3,0.05,900,8
1,4,0.04536151833943239,1200,11
1,5,0.05,1500,10
2,0,0.05,0,12
2,1,0.014675310016965194,300,9
2,2,0.042877804792849646,600,12
2,3,0.08939812608861994,900,6
2,4,0.04536151833943239,1200,7
2,5,0.05,1500,8
3,0,0.05,0,10
3,1,0.006687678666434369,300,8
3,2,0.042877804792849646,600,7
3,3,0.08939812608861994,900,9
3,4,0.040902610226669606,1200,10
3,5,0.03672956542684938,1500,10
4,0,0.05,0,11
4,1,0.004309102874172674,300,5
4,2,0.042877804792849646,600,9
4,3,0.08939812608861994,900,7
4,4,0.04780783113197637,1200,9
4,5,0.03672956542684938,1500,13
5,0,0.0474923385533504,0,9
5,1,0.004309102874172674,300,11
5,2,0.0240030710131443,600,8
5,3,0.08939812608861994,900,9
5,4,0.04520354017020313,1200,6
5,5,0.03672956542684938,1500,11
6,0,0.0474923385533504,0,9
6,1,0.0031221302726255804,300,9
6,2,0.0240030710131443,600,12
6,3,0.04188738070000676,900,13
6,4,0.04520354017020313,1200,2
6,5,0.03672956542684938,1500,9
7,0,0.0474923385533504,0,11
7,1,0.0031221302726255804,300,15
7,2,0.027170994028650853,600,8
7,3,0.04188738070000676,900,5
7,4,0.019622540761756662,1200,5
7,5,0.0314995100755844,1500,10
8,0,0.08363901540461766,0,14
8,1,0.0031221302726255804,300,6
8,2,0.027170994028650853,600,7
8,3,0.04188738070000676,900,11
8,4,0.019622540761756662,1200,7
8,5,0.03304753747126628,1500,9
9,0,0.07477092581848137,0,11
9,1,0.0031221302726255804,300,7
9,2,0.05679522021436662,600,14
9,3,0.03262655957660223,900,7
9,4,0.019622540761756662,1200,7
9,5,0.03304753747126628,1500,8
